Marka,Model,KM,Yakit,Yil,Fiyat
toyota,proace,23956,dizel,2021,957900
toyota,hilux,161000,dizel,2016,950000
toyota,hilux,88500,dizel,2021,1300000
toyota,hilux,54000,dizel,2021,1150000
toyota,hilux,26955,dizel,2022,1490000
toyota,corolla,137000,dizel,2016,880000
toyota,avensis,66900,dizel,2015,925000
toyota,proace,39000,dizel,2022,1089000
toyota,corolla,220224,dizel,2018,799000
toyota,corolla,140670,dizel,2017,825000
toyota,corolla,124000,dizel,2013,790000
toyota,corolla,75000,dizel,2016,743750
toyota,hilux,21777,dizel,2022,1510000
toyota,hilux,83765,dizel,2016,1034000
toyota,hilux,131900,dizel,2016,1279000
toyota,corolla,70000,dizel,2018,859750
toyota,hilux,72000,dizel,2018,1087750
toyota,yaris,81208,dizel,2014,585000
toyota,auris,132100,dizel,2013,655000
toyota,verso,123000,dizel,2015,840000
toyota,hilux,91640,dizel,2018,1065000
toyota,auris,92686,dizel,2011,555000
toyota,hilux,50625,dizel,2020,1175000
toyota,auris,176550,dizel,2013,665000
toyota,rav4,175250,dizel,2015,1189000
toyota,auris,78698,dizel,2015,730000
toyota,corolla,172722,dizel,2009,565000
toyota,auris,109250,dizel,2013,738000
toyota,auris,36335,dizel,2013,790000
toyota,corolla,107413,dizel,2012,714950
toyota,hilux,170500,dizel,2013,806000
toyota,auris,230000,dizel,2011,585000
toyota,auris,167500,dizel,2012,560000
toyota,corolla,166579,dizel,2011,605000
toyota,auris,85846,dizel,2012,780000
toyota,land,231715,dizel,2016,2599000
toyota,corolla,164000,dizel,2012,835000
toyota,proace,22695,dizel,2021,835000
toyota,auris,90000,dizel,2012,669750
hyundai,tucson,94600,dizel,2018,1105000
ford,focus,156400,dizel,2013,680000
fiat,egea,61000,dizel,2022,810000
renault,fluence,273950,dizel,2016,547000
jeep,renegade,85896,dizel,2018,897000
renault,kangoo,135550,dizel,2018,587000
mercedes,c,115260,dizel,2016,1690000
renault,fluence,156600,dizel,2016,749750
nissan,juke,80892,dizel,2013,585000
ford,fiesta,133485,dizel,2010,510000
volkswagen,polo,59517,dizel,2019,862000
ford,fiesta,131578,dizel,2012,492000
fiat,egea,69493,dizel,2020,725000
audi,a4,110000,dizel,2012,1150000
peugeot,207,199895,dizel,2007,415000
ford,transit,139550,dizel,2012,525000
skoda,scala,77788,dizel,2020,893000
peugeot,2008,123709,dizel,2019,892000
hyundai,i20,153152,dizel,2013,436900
peugeot,3008,84210,dizel,2018,1135000
nissan,qashqai,98091,dizel,2018,1100000
ford,focus,206000,dizel,2014,635000
hyundai,i20,61500,dizel,2016,697000
jeep,renegade,112780,dizel,2014,830000
peugeot,308,78297,dizel,2018,742000
ford,focus,107557,dizel,2020,940000
nissan,qashqai,78663,dizel,2018,1112000
ds automobiles,ds,11848,dizel,2023,2099000
fiat,fiorino,99843,dizel,2016,555000
skoda,octavia,127600,dizel,2015,777000
volkswagen,polo,145000,dizel,2013,665000
skoda,scala,111200,dizel,2020,870000
skoda,scala,61381,dizel,2020,905000
volkswagen,polo,85660,dizel,2019,842000
renault,megane,91920,dizel,2019,838000
peugeot,308,117207,dizel,2018,778000
peugeot,308,84342,dizel,2018,752000
peugeot,3008,107909,dizel,2018,1082000
peugeot,3008,82082,dizel,2018,1112000
peugeot,308,101611,dizel,2018,778000
nissan,qashqai,101910,dizel,2018,1100000
ford,tourneo,75691,dizel,2015,672000
ford,focus,73209,dizel,2020,972000
ford,focus,99284,dizel,2020,952000
ford,focus,114419,dizel,2019,1022000
ford,focus,98152,dizel,2019,1022000
fiat,egea,129368,dizel,2019,732000
citroen,c4,99557,dizel,2014,612000
opel,astra,278498,dizel,2011,445000
mitsubishi,l200,68000,dizel,2020,1050000
peugeot,rifter,83000,dizel,2020,758750
renault,fluence,104000,dizel,2012,637750
honda,cr-v,179745,dizel,2016,1150000
ford,tourneo,178441,dizel,2005,335000
ford,c-max,104940,dizel,2012,665000
ford,focus,117664,dizel,2017,790000
fiat,fiorino,101000,dizel,2018,585000
renault,fluence,141000,dizel,2016,650000
renault,megane,12425,dizel,2021,1075000
ford,tourneo,215235,dizel,2009,437000
nissan,qashqai,112000,dizel,2012,797500
peugeot,2008,103926,dizel,2019,902000
opel,astra,85433,dizel,2018,842000
fiat,egea,97814,dizel,2020,642000
kia,xceed,99486,dizel,2019,1049000
citroen,c-elysée,149045,dizel,2015,524000
peugeot,301,120605,dizel,2018,599000
volkswagen,jetta,78044,dizel,2013,959000
skoda,superb,77110,dizel,2017,1749000
volkswagen,passat,110000,dizel,2015,1254000
citroen,c-elysée,36232,dizel,2020,699000
ford,ranger,97717,dizel,2015,1099000
citroen,c-elysée,24965,dizel,2022,824000
ford,c-max,155000,dizel,2013,719000
volkswagen,polo,96000,dizel,2018,840000
fiat,500x,102886,dizel,2015,664900
dacia,duster,92300,dizel,2015,650000
peugeot,301,140000,dizel,2016,525000
opel,astra,136954,dizel,2012,550000
citroen,c-elysée,66748,dizel,2019,689750
fiat,500l,34888,dizel,2020,1089750
fiat,egea,93913,dizel,2016,604900
renault,megane,145606,dizel,2017,720000
ford,fiesta,148500,dizel,2012,620000
nissan,x-trail,128000,dizel,2017,1170000
volvo,xc90,611650,dizel,2008,875000
seat,toledo,112939,dizel,2013,642000
volkswagen,polo,95000,dizel,2018,940000
fiat,ram,128320,dizel,2019,635000
mazda,3,44716,dizel,2016,1050000
citroen,c4,129500,dizel,2017,899900
nissan,qashqai,43100,dizel,2017,1205000
opel,mokka,98312,dizel,2015,840000
opel,astra,121000,dizel,2018,890000
audi,a3,102000,dizel,2015,1185000
opel,astra,154000,dizel,2014,685000
peugeot,2008,48000,dizel,2022,1200000
peugeot,3008,65850,dizel,2021,1400000
hyundai,i20,90000,dizel,2015,654950
renault,clio,49614,dizel,2020,829000
volkswagen,polo,111600,dizel,2015,765000
volkswagen,golf,250000,dizel,2017,978000
cchevrolet,captiva,123100,dizel,2011,748000
nissan,qashqai,45600,dizel,2019,1304000
opel,astra,205000,dizel,2012,587500
skoda,superb,58851,dizel,2013,1195000
kia,cerato,130630,dizel,2017,775000
ford,ranger,230000,dizel,2014,1190000
citroen,c-elysée,106303,dizel,2020,735000
volkswagen,golf,34018,dizel,2017,1050000
nissan,qashqai,189820,dizel,2018,975000
nissan,x-trail,145054,dizel,2018,1120000
chevrolet,aveo,164074,dizel,2013,475000
volkswagen,caddy,24619,dizel,2022,1260000
ford,tourneo,45809,dizel,2021,702900
ford,focus,98650,dizel,2018,1107900
volkswagen,caddy,225513,dizel,2015,672000
renault,kangoo,113117,dizel,2017,605000
dacia,sandero,106668,dizel,2020,652000
renault,megane,90000,dizel,2021,996000
volkswagen,polo,134000,dizel,2017,729900
peugeot,partner,69000,dizel,2018,739900
fiat,egea,138806,dizel,2019,719000
citroen,c-elysée,55332,dizel,2021,710000
citroen,c-elysée,53509,dizel,2022,735000
opel,astra,197000,dizel,2014,620000
ford,tourneo,41600,dizel,2022,886000
ford,tourneo,51000,dizel,2022,889000
nissan,x-trail,41983,dizel,2018,1610000
nissan,x-trail,64799,dizel,2018,1600000
suzuki,x4,90000,dizel,2013,699900
ford,tourneo,43812,dizel,2022,810000
honda,cr-v,82000,dizel,2017,1389900
fiat,egea,33141,dizel,2022,949000
volkswagen,passat,109000,dizel,2019,1250000
ford,ranger,64300,dizel,2019,1249900
volkswagen,passat,133382,dizel,2016,1063950
nissan,qashqai,116300,dizel,2018,1225000
renault,megane,160124,dizel,2017,835000
skoda,rapid,159200,dizel,2015,800000
renault,megane,113205,dizel,2018,950000
mitsubishi,l200,31000,dizel,2016,965000
volkswagen,polo,137000,dizel,2012,585000
skoda,scala,115013,dizel,2020,863000
ford,focus,101000,dizel,2017,950000
fiat,egea,9941,dizel,2022,990000
citroen,berlingo,139203,dizel,2016,579900
citroen,c-elysée,53915,dizel,2022,776000
renault,symbol,174800,dizel,2015,605000
citroen,ds4,99757,dizel,2012,795000
isuzu,d-max,105596,dizel,2011,620000
volkswagen,passat,142000,dizel,2018,1309900
volkswagen,polo,144000,dizel,2017,795000
fiat,doblo,47700,dizel,2022,790000
fiat,doblo,28500,dizel,2020,750000
ford,focus,153000,dizel,2019,1030000
renault,clio,72312,dizel,2016,695000
citroen,c-elysée,109994,dizel,2019,730000
bmw3,series,222500,dizel,2012,899000
fiat,egea,15747,dizel,2022,957000
peugeot,2008,155461,dizel,2019,913000
renault,kadjar,160521,dizel,2016,872000
opel,grandland,95878,dizel,2019,1199000
peugeot,rifter,30891,dizel,2021,842000
renault,kadjar,116000,dizel,2017,995000
skoda,superb,326000,dizel,2013,755000
nissan,qashqai,100000,dizel,2016,955000
fiat,egea,180200,dizel,2017,609900
audi,a4,74000,dizel,2020,2185000
bmw1,series,95303,dizel,2015,1050000
nissan,qashqai,24108,dizel,2015,1143950
mercedes,c,140658,dizel,2016,1560000
volvo,v40,104120,dizel,2015,1150000
nissan,x-trail,102156,dizel,2015,1030000
mercedes,a,166916,dizel,2015,1075000
fiat,egea,14429,dizel,2022,957000
fiat,egea,46612,dizel,2022,889750
citroen,c4 cactus,18826,dizel,2018,975000
opel,grandland,179453,dizel,2020,1102000
peugeot,3008,83512,dizel,2019,1200000
volkswagen,golf,69194,dizel,2019,1335000
renault,megane,74000,dizel,2019,985000
peugeot,partner,178500,dizel,2018,650000
opel,astra,69000,dizel,2017,927750
peugeot,2008,108500,dizel,2018,897750
renault,kangoo,82400,dizel,2017,679900
hyundai,accent,129000,dizel,2011,595000
fiat,doblo,53743,dizel,2021,703000
fiat,doblo,36019,dizel,2022,698000
ford,fiesta,81904,dizel,2016,735000
citroen,c-elysée,157000,dizel,2016,589900
peugeot,2008,40000,dizel,2018,999900
seat,leo,21134,dizel,2018,1229900
chevrolet,captiva,160100,dizel,2012,844000
fiat,egea,7655,dizel,2022,995000
fiat,doblo,12639,dizel,2022,676000
seat,leo,105624,dizel,2019,1165000
ford,focus,146973,dizel,2016,855000
bmw,5 series,255155,dizel,2011,1285900
ford,focus,124182,dizel,2015,825900
renault,megane,63727,dizel,2017,1000000
kia,cerato,131409,dizel,2018,940000
nissan,qashqai,157000,dizel,2015,970000
