,Il,Ilce,Mahalle,Konut Tipi,Oda Sayisi,Bulundugu Kat,Metrekare,Fiyat
6717,Ankara,Pursaklar,Mimar Sinan Mh.,Daire,2+1,Düz Giriş,105,1425000
6718,Kütahya,Kütahya Merkez,Evliya Çelebi Mh.,Daire,4+1,1,175,2445000
6719,İstanbul,Maltepe,Küçükyalı Mh.,Daire,1+1,Düz Giriş,65,3100000
6720,İstanbul,Sarıyer,Cumhuriyet Mh.,Villa,3+2,,210,21000000
6721,Aydın,Didim,Hisar Mh.,Müstakil,3+1,,180,7500000
6722,İstanbul,Ümraniye,İstiklal Mh.,Daire,2+1,Düz Giriş,90,1250000
6723,İzmir,Menemen,Ulus Mh.,Daire,1+1,3,60,2000000
6724,İstanbul,Esenyurt,Pınar Mh.,Bina,3+1,,150,5800000
6725,Antalya,Alanya,Avsallar Mh.,Villa,4+1,,226,17287000
6726,İzmir,Konak,Murat Mh.,Müstakil Ev,2+1,,90,3250000
6727,Bursa,Yıldırım,İsabey Mh.,Daire,3+1,Yüksek Giriş,125,1550000
6728,Trabzon,Ortahisar,Çimenli Mh.,Villa,4+1,,250,34000000
6729,İzmir,Urla,Zeytinalanı Mh.,Bina,1,,330,29650000
6730,Adana,Çukurova,Pirili Mh.,Müstakil Ev,1+1,,210,1150000
6731,İzmir,Seferihisar,Hıdırlık Mh.,Villa,4+1,,140,5750000
6732,Niğde,Bor,Bahçeli Bld. (Cumhuriyet Mh.),Müstakil Ev,3+1,,433,2000000
6733,Trabzon,Ortahisar,Soğuksu Mh.,Villa,4+2,,240,7000000
6734,Tekirdağ,Kapaklı,Atatürk Mh.,Daire,1+1,Yüksek Giriş,80,1060000
6735,İzmir,Bergama,Ertuğrul Mh.,Daire,3+1,4,145,1690000
6736,Ankara,Polatlı,Fatih Mh.,Daire,3+1,Düz Giriş,140,1400000
6737,Antalya,Kemer,Merkez Mh.,Villa,5+1,,650,45000000
6738,İzmir,Konak,Güzelyalı Mh.,Daire,2+1,2,95,2690000
6739,İstanbul,Kartal,Yalı Mh.,Daire,1+1,24,68,3300000
6740,İzmir,Selçuk,Şirince Mh.,Müstakil Ev,5+2,,143,6400000
6741,Trabzon,Of,Eskipazar Mh.,Villa,5+1,Düz Giriş ,550,16750000
6742,Ankara,Mamak,Tuzluçayır Mh.,Daire,2+1,Yüksek Giriş,90,1390000
6743,Aydın,Didim,Fevzipaşa Mh.,Villa,5+1,,165,15000000
6744,Konya,Meram,Osman Gazi Mh.,Müstakil Ev,3+1,,150,4000000
6745,Ankara,Mamak,Ekin Mh.,Daire,3+1,-3,115,1049000
6746,Antalya,Alanya,Mahmutlar Mh.,Residence,1+1,8,55,4100000
6747,İzmir,Güzelbahçe,Çelebi Mh.,Villa,5+2,,245,16900000
6748,İzmir,Menemen,Süleymanlı Mh.,Müstakil Ev,3+1,,400,3500000
6749,İstanbul,Kadıköy,Zühtüpaşa Mh.,Daire,3+1,1,150,11000000
6750,Balıkesir,Edremit,Hekimzade Mh.,Daire,3+1,1,150,1590000
6751,Bursa,Yıldırım,Zümrütevler Mh.,Bina,1,,108,3000000
6752,Ankara,Etimesgut,Şeyh Şamil Mh.,Daire,3+1,4,130,2750000
6753,Konya,Meram,Hatunsaray Mh.,Müstakil Ev,2+1,,140,2350000
6754,İstanbul,Maltepe,İdealtepe Mh.,Daire,2+1,2,90,4850000
6755,İstanbul,Arnavutköy,Yeşilbayır Mh.,Villa,5+2,,260,29999999
6756,Ankara,Çankaya,Huzur Mh.,Daire,4+2,Yüksek Giriş,195,3050000
6757,Antalya,Alanya,Oba Mh.,Daire,2+1,3,120,4611000
6758,Ankara,Akyurt,Beyazıt Mh.,Villa,6+1,,275,3750000
6759,İstanbul,Büyükçekmece,Bahçelievler Mh.,Yalı,9+,,1400,120000000
6760,İstanbul,Kağıthane,Harmantepe Mh.,Bina,1,,400,22000000
6761,İzmir,Narlıdere,Limanreis Mh.,Villa,3+1,,250,19500000
6762,Antalya,Kemer,Yeni Mh.,Villa,4+2,,350,29000000
6763,İstanbul,Arnavutköy,Karaburun Mh.,Villa,5+2,,320,13000000
6764,Ankara,Gölbaşı,Yavrucuk Mh.,Villa,2+1,,90,2500000
6765,İzmir,Menemen,Kazımpaşa Mh.,Daire,1+1,5,55,1249000
6766,Trabzon,Ortahisar,Akyazı Mh.,Villa,5+1,,340,12500000
6767,Antalya,Serik,Kadriye Mh.,Villa,3+1,,220,16200000
6768,İstanbul,Tuzla,Evliya Çelebi Mh.,Daire,3+1,Yüksek Giriş,135,4000000
6769,İstanbul,Küçükçekmece,Atatürk Mh.,Daire,2+1,Yüksek Giriş,120,1950000
6770,İstanbul,Ataşehir,Yenişehir Mh.,Residence,3+1,19,176,14950000
6771,Trabzon,Çaykara,Taşkıran Mh.,Bina,1,,2182,60000000
6772,Eskişehir,Odunpazarı,Emek Mh.,Daire,2+1,1,110,1900000
6773,Ankara,Sincan,Fatih Mh.,Daire,2+1,1,85,1119000
6774,İstanbul,Esenler,Menderes Mh.,Bina,1,,820,26500000
6775,Ankara,Etimesgut,Elvan Mh.,Daire,2+1,Yüksek Giriş,95,1490000
6776,İzmir,Buca,Güven Mh.,Daire,2+1,1,95,2050000
6777,Ankara,Sincan,Ahi Evran Mh.,Daire,3+1,1,135,2299000
6778,Konya,Meram,Lalebahçe Mh.,Villa,5+1,Düz Giriş ,260,9000000
6779,Antalya,Alanya,Mahmutlar Mh.,Residence,2+1,4,120,5250000
6780,Şanlıurfa,Karaköprü,Atakent Mh.,Daire,3+1,Yüksek Giriş,180,1800000
6781,Antalya,Döşemealtı,Altınkale Mh.,Müstakil,4+1,,210,9750000
6782,İstanbul,Bahçelievler,Yenibosna Merkez Mh.,Daire,1+1,Yüksek Giriş,65,1680000
6783,İzmir,Bayındır,Camii Mh.,Müstakil Ev,3+1,,143,750000
6784,Tekirdağ,Çorlu,Önerler Mh.,Villa,5+1,,550,27900000
6785,Adana,Sarıçam,Sofudede Mh.,Daire,3+1,-3,125,2350000
6786,İstanbul,Sarıyer,Maslak Mh.,Residence,1+1,8,85,8500000
6787,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,2+1,3,100,1199000
6788,Antalya,Konyaaltı,Hurma Mh.,Daire,2+1,Yüksek Giriş,98,2870000
6789,Balıkesir,Edremit,Akçay Mh.,Daire,2+1,2,95,1825000
6790,Ankara,Pursaklar,Mimar Sinan Mh.,Daire,5+2,17,365,4500000
6791,İzmir,Seferihisar,Beyler Mh.,Köy Evi,2+1,,70,1150000
6792,Antalya,Alanya,Kargıcak Mh.,Müstakil,4+1,,272,31700000
6793,Ankara,Çankaya,Alacaatlı Mh.,Villa,9+,,665,36000000
6794,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,200,6500000
6795,Ankara,Çubuk,Dumlupınar Mh.,Müstakil Ev,1+1,,60,2000000
6796,İstanbul,Beylikdüzü,Adnan Kahveci Mh.,Daire,4+2,3,270,3842000
6797,Ankara,Çankaya,Dodurga Mh.,Villa,6+1,,270,5750000
6798,İstanbul,Sancaktepe,Eyüp Sultan Mh.,Daire,2+1,1,140,1990000
6799,İstanbul,Silivri,Gümüşyaka Mh.,Villa,2+1,,130,2650000
6800,İzmir,Bornova,Kazımdirik Mh.,Villa,4+1,,333,17100000
6801,İzmir,Dikili,Salihler Mh.,Villa,3+1,,340,6950000
6802,Ankara,Keçiören,Köşk Mh.,Daire,3+1,Yüksek Giriş,140,2170000
6803,Antalya,Manavgat,Şelale Mh.,Daire,2+1,1,100,3600000
6804,Bursa,Nilüfer,İhsaniye Mh.,Daire,3+1,8,150,4000000
6805,İzmir,Karabağlar,Sarıyer Mh.,Daire,3+1,2,130,2900000
6806,İstanbul,Gaziosmanpaşa,Karadeniz Mh.,Daire,2+1,7,134,7620000
6807,Antalya,Manavgat,Sarılar Mh.,Villa,2+1,,110,2700000
6808,Konya,Ereğli,Orhaniye Mh.,Müstakil Ev,3+1,,355,2020000
6809,Aydın,Kuşadası,Davutlar Mh.,Villa,4+1,,400,12950000
6810,İstanbul,Sarıyer,Maslak Mh.,Residence,3+1,20,185,18000000
6811,Konya,Meram,Bahçeşehir Mh.,Müstakil,3+1,,150,4000000
6812,İstanbul,Kartal,Hürriyet Mh.,Daire,3+1,3,145,4500000
6813,Konya,Karatay,Karaaslanüzümcü Mh.,Müstakil Ev,3+1,,250,2300000
6814,Denizli,Merkezefendi,Değirmenönü Mh.,Daire,1+1,Yüksek Giriş,55,1250000
6815,Antalya,Alanya,Tepe Mh.,Müstakil,4+1,,400,44795000
6816,Gaziantep,Şahinbey,Bülbülzade Mh.,Daire,3+1,4,150,2699999
6817,İstanbul,Büyükçekmece,Fatih Mh.,Daire,2+1,2,120,5500000
6818,İzmir,Seferihisar,Tepecik Mh.,Villa,4+1,,200,13800000
6819,İstanbul,Beylikdüzü,Marmara Mh.,Daire,2+1,1,100,3750000
6820,Konya,Selçuklu,Şeker Mh.,Müstakil Ev,3+1,,326,4000000
6821,İstanbul,Esenyurt,Cumhuriyet Mh.,Daire,1,8,98,985000
6822,Antalya,Döşemealtı,Yalınlı Mh.,Villa,7+1,,447,16950000
6823,Ankara,Sincan,Alagöz Mh.,Müstakil Ev,2+1,,300,1300000
6824,Hatay,Arsuz,Karaağaç Övündük Mh.,Villa,3+1,,200,15900000
6825,İzmir,Karabağlar,İhsan Alyanak Mh.,Bina,1,,113,2350000
6826,İzmir,Konak,Güzelyalı Mh.,Daire,2+1,Yüksek Giriş,90,2500000
6827,İstanbul,Beylikdüzü,Beylikdüzü OSB Mh.,Daire,2+1,2,115,1560000
6828,Konya,Selçuklu,Buhara Mh.,Villa,6+2,Bahçe Dublex,450,16000000
6829,Ankara,Mamak,Akşemsettin Mh.,Daire,3+1,3,135,1990000
6830,Antalya,Alanya,Demirtaş Mh.,Residence,2+1,Çatı Dubleks,94,4600000
6831,İzmir,Güzelbahçe,Yelki Mh.,Villa,4+1,,630,25950000
6832,Trabzon,Çarşıbaşı,Büyükdere Mh.,Villa,9+,,350,20000000
6833,Ankara,Yenimahalle,Serhat Mh.,Residence,1+1,2,70,1900000
6834,Manisa,Soma,Nihat Danışman Mh.,Daire,5+2,4,250,2000000
6835,Antalya,Alanya,Çarşı Mh.,Bina,1,,350,28000000
6836,Aydın,Didim,Yeni Mh.,Daire,1+1,2,60,3160000
6837,İstanbul,Esenyurt,Zafer Mh.,Daire,2+1,2,110,2300000
6838,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,3+1,1,135,3800000
6839,İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mh.,Villa,5+1,,380,11250000
6841,Antalya,Kaş,Sarıbelen Mh.,Villa,1+1,Düz Giriş ,100,4500000
6842,Trabzon,Ortahisar,Kireçhane Mh.,Bina,3+1,,600,8700000
6843,Tekirdağ,Kapaklı,Atatürk Mh.,Daire,2+1,5,115,1640000
6844,İzmir,Buca,Yaylacık Mh.,Daire,3+1,9,140,2850000
6845,Ankara,Mamak,General Zeki Doğan Mh.,Daire,2+1,Yüksek Giriş,80,1200000
6846,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,3+1,,200,2625000
6847,İstanbul,Şile,Çavuş Mh.,Villa,4+1,,200,9500000
6848,Antalya,Döşemealtı,Yeşilbayır Mh.,Prefabrik,1+1,,42,420000
6849,İstanbul,Şile,Çayırbaşı Mh.,Villa,4+1,,160,12489000
6850,Konya,Selçuklu,Erenköy Mh.,Villa,9+,Düz Giriş ,425,5000000
6851,Trabzon,Akçaabat,Çiçeklidüz Mh.,Müstakil,4+1,,1000,5350000
6852,Ankara,Çankaya,Ahlatlıbel Mh.,Villa,4+1,,330,12750000
6853,Ankara,Etimesgut,Yavuz Selim Mh.,Villa,4+1,,300,5500000
6854,İzmir,Urla,Yenikent Mh.,Villa,3+1,,300,21250000
6855,İzmir,Çiğli,Ahmet Taner Kışlalı Mh.,Müstakil Ev,5+1,,145,5000000
6856,İzmir,Çiğli,Sasallı Merkez Mh.,Villa,5+1,,425,29900000
6857,Ankara,Keçiören,Ayvalı Mh.,Daire,5+1,1,180,4599000
6858,İzmir,Seferihisar,Atatürk Mh.,Villa,6+1,,190,10000000
6859,Muğla,Marmaris,Çetibeli Mh.,Villa,4+1,,160,12500000
6860,Ankara,Çankaya,Osman Temiz Mh.,Daire,5+2,9,330,10865000
6861,İzmir,Kemalpaşa,Armutlu Hürriyet Mh.,Müstakil Ev,4+1,,700,2450000
6862,İstanbul,Beykoz,Gümüşsuyu Mh.,Müstakil Ev,4+1,,140,4500000
6863,Ankara,Gölbaşı,Kızılcaşar Mh.,Daire,1+1,1,65,2750000
6864,İstanbul,Gaziosmanpaşa,Karadeniz Mh.,Residence,1+1,15,67,3900000
6865,İzmir,Çeşme,Şifne Mh.,Villa,4+2,,250,14000000
6866,Ankara,Çankaya,Alacaatlı Mh.,Villa,7+2,,650,24500000
6867,Ankara,Keçiören,Atapark Mh.,Daire,3+1,-2,120,1450000
6868,İstanbul,Tuzla,Cami Mh.,Villa,5+1,,400,13000000
6869,Ankara,Mamak,Başak Mh.,Daire,1+1,-1,100,750000
6870,İzmir,Urla,Altıntaş Mh.,Villa,5+2,,400,12500000
6871,Tekirdağ,Süleymanpaşa,Cumhuriyet Mh.,Daire,1+1,Düz Giriş,70,1685000
6872,Ankara,Pursaklar,Yunus Emre Mh.,Daire,3+1,3,120,1900000
6873,Aydın,Kuşadası,Güzelçamlı Mh.,Daire,1+1,1,70,2800000
6874,İstanbul,Beylikdüzü,Adnan Kahveci Mh.,Villa,6+2,,650,30000000
6875,Konya,Çumra,Bağlar Mh.,Müstakil Ev,3+1,,750,2500000
6876,Ankara,Çankaya,Kırkkonaklar Mh.,Bina,1,,1450,67500000
6877,İstanbul,Kadıköy,Bostancı Mh.,Daire,2+1,1,120,6590000
6878,İstanbul,Kağıthane,Merkez Mh.,Residence,1+1,4,65,6300000
6879,İzmir,Konak,Murat Reis Mh.,Daire,3+1,1,120,2100000
6880,İstanbul,Kadıköy,Suadiye Mh.,Daire,3+1,9,150,10400000
6881,Antalya,Serik,Belek Mh.,Villa,4+1,,260,13000000
6882,Gaziantep,Şahinbey,Beyazlar Mh.,Müstakil Ev,2+1,,135,1150000
6883,Antalya,Kaş,İkizce Mh.,Villa,2+1,,90,5500000
6884,Antalya,Serik,Belek Mh.,Villa,3+1,,145,8100000
6885,Konya,Akşehir,Nasreddin Hoca Mh.,Müstakil Ev,3+1,,151,760000
6886,Kocaeli,İzmit,Ambarcı Mh.,Kooperatif,1+1,Düz Giriş ,517,800000
6887,İzmir,Seferihisar,Sığacık Mh.,Villa,3+1,,202,8000000
6888,Trabzon,Yomra,Kaşüstü Mh.,Daire,3+1,10,165,3000000
6889,İzmir,Bergama,Atmaca Mh.,Müstakil Ev,4+1,,137,3000000
6890,İstanbul,Esenyurt,Güzelyurt Mh.,Daire,2+1,2,110,1499000
6891,Ankara,Keçiören,Ovacık Mh.,Daire,3+1,8,150,4399000
6892,Antalya,Serik,Kadriye Mh.,Villa,3+1,,346,6275000
6893,İzmir,Çiğli,Atatürk Mh.,Daire,2+1,1,85,1940000
6894,Tekirdağ,Çorlu,Şeyh Sinan Mh.,Daire,3+1,8,135,3070000
6895,Ankara,Sincan,Selçuklu Mh.,Daire,3+1,3,125,2500000
6896,İzmir,Dikili,Salihler Mh.,Villa,5+1,,290,6550000
6897,İzmir,Narlıdere,Çamtepe Mh.,Daire,1,1,60,2750000
6898,KKTC,İskele,Merkez Mh.,Daire,2+1,4,90,4900000
6899,İstanbul,Esenyurt,Mehmet Akif Ersoy Mh.,Residence,2+1,1,80,1400000
6900,İzmir,Dikili,Bademli Mh.,Devremülk,1+1,1,65,165000
6901,Ankara,Etimesgut,Bağlıca Mh.,Villa,4+2,,500,14750000
6902,İstanbul,Sarıyer,Ayazağa Mh.,Residence,1+1,10,90,7900000
6903,İzmir,Bergama,Gaziosmanpaşa Mh.,Daire,2+1,2,100,2250000
6904,İstanbul,Beşiktaş,Dikilitaş Mh.,Residence,1+1,5,116,16500000
6905,Antalya,Alanya,Bektaş Mh.,Villa,5+1,,4500,24500000
6906,Mersin,Toroslar,Buluklu Mh.,Villa,5+1,,450,11000000
6907,İstanbul,Sultangazi,75. Yıl Mh.,Daire,2+1,1,120,1995000
6908,Ankara,Pursaklar,Fatih Mh.,Daire,4+1,1,170,2950000
6909,İstanbul,Esenyurt,Çınar Mh.,Daire,2+1,12,120,1439000
6910,Denizli,Pamukkale,15 Mayıs Mh.,Daire,2+0,Yüksek Giriş,65,989000
6911,İzmir,Ödemiş,Kayaköy Mh.,Müstakil Ev,1+1,,171,450000
6912,Samsun,Atakum,Küçükkolpınar Mh.,Daire,4+1,3,300,5500000
6913,Antalya,Kepez,Çamlıbel Mh.,Prefabrik,2+1,Düz Giriş ,60,300000
6914,İstanbul,Sultangazi,Sultançiftliği Mh.,Daire,2+1,Yüksek Giriş,90,2800000
6915,Ordu,Altınordu,Karşıyaka Mh.,Daire,2+1,Çatı Dubleks,125,1600000
6916,Ankara,Etimesgut,Bağlıca Mh.,Villa,4+1,,220,15500000
6917,İstanbul,Başakşehir,Başak Mh.,Daire,2+1,2,95,3050000
6918,İstanbul,Silivri,Mimar Sinan Mh.,Yazlık,2+1,Düz Giriş,80,2250000
6919,Antalya,Döşemealtı,Bahçeyaka Mh.,Villa,3+1,,230,13000000
6920,Antalya,Alanya,Kestel Mh.,Villa,3+1,,350,15400000
6921,Ankara,Mamak,Akdere Mh.,Daire,3+1,3,130,2450000
6922,İstanbul,Ümraniye,Adem Yavuz Mh.,Müstakil Ev,2+1,,165,4500000
6923,İstanbul,Sarıyer,Maslak Mh.,Residence,5+1,14,225,19500000
6924,İzmir,Karabağlar,Sarıyer Mh.,Müstakil Ev,2+1,,112,4200000
6925,İzmir,Karşıyaka,Nergiz Mh.,Daire,3+1,3,110,2690000
6926,Ankara,Mamak,Başak Mh.,Daire,6+2,3,245,2650000
6927,İzmir,Buca,İzkent Mh.,Daire,2+1,1,75,1585000
6928,Ankara,Sincan,Pınarbaşı Mh.,Daire,3+1,3,120,1969000
6929,Aydın,Didim,Efeler Mh.,Villa,4+1,,305,8500000
6930,Antalya,Alanya,Mahmutlar Mh.,Residence,1+1,2,60,3990000
6931,İstanbul,Gaziosmanpaşa,Sarıgöl Mh.,Daire,3+1,9,120,3800000
6932,İzmir,Dikili,Salihler Mh.,Villa,3+1,,150,8550000
6933,Ankara,Çankaya,Dodurga Mh.,Villa,3+2,,400,10250000
6934,Ankara,Yenimahalle,Ergenekon Mh.,Villa,4+2,,450,8999000
6935,Trabzon,Akçaabat,Darıca Mh.,Müstakil,4+1,,400,7425000
6936,İzmir,Çeşme,Reisdere Mh.,Müstakil Ev,4+1,,250,18000000
6937,Ankara,Yenimahalle,Kardelen Mh.,Daire,4+1,13,195,4750000
6938,Sakarya,Karasu,Yeni Mh.,Daire,1+1,3,55,1400000
6939,Trabzon,Yomra,Kaşüstü Mh.,Bina,3+1,,125,37500000
6940,Erzurum,Yakutiye,Kurtuluş Mh.,Daire,3+1,6,135,1150000
6941,İstanbul,Beylikdüzü,Cumhuriyet Mh.,Daire,1+1,2,90,1375000
6942,Trabzon,Ortahisar,Üniversite Mh.,Bina,3+1,,280,5900000
6943,Muğla,Fethiye,Kızılbel Mh.,Villa,5+2,,600,15250000
6944,Ankara,Etimesgut,Güzelkent Mh.,Daire,3+1,2,125,2849000
6945,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,150,3900000
6946,Muğla,Bodrum,Yokuşbaşı Mh.,Villa,4+2,,360,25000000
6947,Ankara,Mamak,Tuzluçayır Mh.,Daire,3+1,-1,115,1500000
6948,Antalya,Alanya,Cikcilli Mh.,Villa,6+1,,611,18210000
6949,İstanbul,Üsküdar,Sultantepe Mh.,Müstakil Ev,9+,,1100,210000000
6950,İstanbul,Silivri,Mimar Sinan Mh.,Villa,4+1,,600,14800000
6951,İstanbul,Beylikdüzü,Yakuplu Mh.,Daire,2+1,1,95,2950000
6952,Ankara,Mamak,Abidinpaşa Mh.,Daire,3+1,2,110,1690000
6953,Ankara,Keçiören,Yayla Mh.,Daire,2+1,-1,130,1595000
6954,Ankara,Mamak,Kartaltepe Mh.,Daire,3+1,2,115,1750000
6955,İstanbul,Sarıyer,Fatih Sultan Mehmet Mh.,Müstakil Ev,2+1,,270,10500000
6956,İstanbul,Gaziosmanpaşa,Karadeniz Mh.,Residence,1+1,7,80,3800000
6957,Balıkesir,Edremit,Altınoluk Mh.,Villa,4+1,,170,12500000
6958,İzmir,Konak,Barbaros Mh.,Daire,3+1,6,110,4300000
6959,Tekirdağ,Marmaraereğlisi,Dereağzı Mh.,Müstakil,4+1,,350,6250000
6960,İstanbul,Silivri,Fener Mh.,Villa,1+1,,60,2500000
6961,İzmir,Foça,Atatürk Mh.,Müstakil Ev,3+1,,120,8000000
6962,İstanbul,Bağcılar,15 Temmuz Mh.,Daire,3+1,3,140,6000000
6963,İstanbul,Şile,Kumbaba Mh.,Villa,5+1,,250,13500000
6964,Antalya,Serik,Belek Mh.,Villa,1,Düz Giriş ,400,7100000
6965,İzmir,Kemalpaşa,Örnekköy Mh.,Villa,3+1,,250,9500000
6966,Ankara,Gölbaşı,İncek Mh.,Daire,2+1,Çatı Dubleks,120,3300000
6967,İstanbul,Bahçelievler,Yenibosna Merkez Mh.,Bina,3+1,,167,8000000
6968,İzmir,Urla,Kalabak Mh.,Villa,4+1,,450,77000000
6969,İstanbul,Şişli,Meşrutiyet Mh.,Bina,1,,300,40500000
6970,Antalya,Döşemealtı,Altınkale Mh.,Villa,6+1,,300,14500000
6971,Ankara,Sincan,Fevzi Çakmak Mh.,Daire,3+1,1,140,1950000
6972,İstanbul,Bahçelievler,Siyavuşpaşa Mh.,Daire,2+1,1,90,3950000
6973,Konya,Akşehir,Seyran Mh.,Müstakil,2+1,,170,3250000
6974,Antalya,Alanya,Kargıcak Mh.,Villa,4+1,Düz Giriş ,300,39000000
6975,Antalya,Serik,Kadriye Mh.,Villa,4+1,,220,14250000
6976,Kocaeli,Gebze,Adem Yavuz Mh.,Bina,1,,625,5950000
6977,Antalya,Kumluca,Beykonak Mh.,Villa,5+1,,200,7750000
6978,Antalya,Alanya,Yeşilöz Mh.,Villa,6+2,,780,12360000
6979,Konya,Beyşehir,Bahçelievler Mh.,Bina,3+1,,1092,17000000
6980,İzmir,Gaziemir,Atatürk Mh.,Müstakil Ev,2+1,,446,6500000
6981,Antalya,Döşemealtı,Altınkale Mh.,Villa,5+1,,1200,90000000
6982,İstanbul,Beylikdüzü,Beylikdüzü OSB Mh.,Daire,3+1,5,130,1355000
6983,Tekirdağ,Süleymanpaşa,Topağaç Mh.,Bina,2+1,,123,2250000
6984,İstanbul,Beylikdüzü,Kavaklı Mh.,Daire,3+1,3,140,1460000
6985,İzmir,Buca,Hürriyet Mh.,Daire,3+1,3,111,2080000
6986,İzmir,Bornova,Atatürk Mh.,Müstakil Ev,2+1,,200,7500000
6987,İzmir,Seferihisar,Camikebir Mh.,Villa,4+1,,200,8250000
6988,Konya,Meram,Karahüyük Mh.,Villa,5+1,,190,7500000
6989,İzmir,Urla,Kalabak Mh.,Villa,4+1,,240,8000000
6990,İstanbul,Kartal,Hürriyet Mh.,Residence,3+2,11,132,5450000
6991,İzmir,Buca,İnönü Mh.,Daire,2+1,2,100,2300000
6992,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,5+1,,250,15000000
6993,Ankara,Çankaya,Harbiye Mh.,Daire,2+1,-2,90,1500000
6994,Balıkesir,Edremit,Akçay Mh.,Daire,2+1,1,105,2200000
6995,İstanbul,Sarıyer,Maslak Mh.,Residence,2+1,10,115,13250000
6996,Tekirdağ,Ergene,Yulaflı Mh.,Köy Evi,2+1,,85,2750000
6997,Adana,Seyhan,Ziyapaşa Mh.,Müstakil Ev,6+2,,282,6000000
6998,Ankara,Mamak,Zirvekent Mh.,Daire,1+1,Yüksek Giriş,55,849000
6999,İzmir,Bergama,Durmuşlar Mh.,Köy Evi,2+0,,300,650000
7000,İzmir,Buca,Yaylacık Mh.,Daire,3+1,2,170,5750000
7001,İstanbul,Büyükçekmece,Celaliye Mh.,Daire,2+1,1,110,3099999
7002,İzmir,Buca,Kırklar Mh.,Çiftlik Evi,3+1,,3850,15000000
7003,Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mh.,Villa,3+1,,195,2900000
7004,Ankara,Çubuk,Dumlupınar Mh.,Müstakil,2+1,,90,2250000
7005,Ankara,Keçiören,Ufuktepe Mh.,Daire,2+1,Düz Giriş,100,1135000
7006,Antalya,Döşemealtı,Tomalar Mh.,Villa,4+1,,350,15700000
7007,İstanbul,Kartal,Orhantepe Mh.,Residence,3+1,15,180,12450000
7008,İstanbul,Arnavutköy,Hastane Mh.,Daire,2+1,3,82,2550000
7009,İzmir,Urla,Çamlıçay Mh.,Villa,6+1,,400,15000000
7010,İzmir,Torbalı,Ayrancılar Mh.,Daire,2+1,3,95,1830000
7011,İstanbul,Büyükçekmece,Pınartepe Mh.,Villa,5+2,,300,19240000
7012,Ankara,Pursaklar,Merkez Mh.,Daire,3+1,4,115,1645000
7013,İstanbul,Başakşehir,Ziya Gökalp Mh.,Daire,2+1,24,125,6700000
7014,Tekirdağ,Çorlu,Önerler Mh.,Villa,4+1,,340,14500000
7015,İzmir,Konak,26 Ağustos Mh.,Müstakil Ev,2+1,,100,2250000
7016,İstanbul,Maltepe,İdealtepe Mh.,Daire,2+1,Yüksek Giriş,90,4300000
7017,İstanbul,Büyükçekmece,Fatih Mh.,Daire,2+1,1,110,2450000
7018,İstanbul,Bahçelievler,Zafer Mh.,Daire,2+1,3,80,2200000
7019,İzmir,Torbalı,Ortaköy Mh.,Villa,3+1,,150,6500000
7020,Ankara,Pursaklar,Ayyıldız Mh.,Daire,2+1,4,65,1250000
7021,Ankara,Polatlı,Gedikli Mh.,Müstakil Ev,3+1,Düz Giriş ,500,2790000
7022,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,5+2,,400,14000000
7023,Bursa,Yıldırım,Beyazıt Mh.,Müstakil Ev,2+1,,95,1350000
7024,İstanbul,Fatih,Ayvansaray Mh.,Müstakil Ev,3+0,,125,5000000
7025,İstanbul,Kadıköy,Sahrayı Cedit Mh.,Daire,3+1,3,120,3500000
7026,İzmir,Dikili,Çandarlı Mh.,Villa,3+2,,358,9900000
7027,İstanbul,Kağıthane,Talatpaşa Mh.,Residence,1+1,14,75,2850000
7028,İzmir,Çiğli,Yakakent Mh.,Daire,3+1,2,125,2230000
7029,Aydın,Nazilli,İsabeyli Mh.,Daire,3+1,1,120,1650000
7030,İstanbul,Esenler,Kemer Mh.,Daire,2+1,5,95,1500000
7031,İzmir,Foça,Yenibağarası Mh.,Villa,4+1,,180,10500000
7032,Trabzon,Ortahisar,Soğuksu Mh.,Villa,6+2,,450,6875061
7033,Ankara,Pursaklar,Ayyıldız Mh.,Daire,2+1,3,75,1250000
7034,İzmir,Buca,Akıncılar Mh.,Daire,1+1,1,49,1750000
7035,Antalya,Kemer,Göynük Mh.,Müstakil Ev,2+1,,80,2600000
7036,İzmir,Foça,İsmetpaşa Mh.,Villa,2+1,,120,6995000
7037,İstanbul,Bahçelievler,Şirinevler Mh.,Daire,2+1,1,105,1800000
7038,İzmir,Menderes,Çukuraltı Mh.,Villa,4+1,,200,6200000
7039,Ankara,Etimesgut,Topçu Mh.,Daire,2+1,3,100,1675000
7040,Ankara,Sincan,Mareşal Çakmak Mh.,Daire,2+1,Düz Giriş,90,1329000
7041,Kocaeli,İzmit,Çubukluosmaniye Mh.,Villa,5+1,,320,5850000
7042,İzmir,Bergama,Maltepe Mh.,Daire,2+1,Yüksek Giriş,80,2550000
