,Il,Ilce,Mahalle,Konut Tipi,Oda Sayisi,Bulundugu Kat,Metrekare,Fiyat
157,İzmir,Dikili,Çandarlı Mh.,Villa,3+1,,150,9000000
158,Ankara,Pursaklar,Mimar Sinan Mh.,Daire,4+1,15,200,4450000
159,Ankara,Gölbaşı,Karşıyaka Mh.,Villa,5+1,,250,12500000
160,Konya,Meram,Ali Ulvi Kurucu Mh.,Müstakil Ev,3+1,2,160,2400000
161,İstanbul,Bakırköy,Şenlikköy Mh.,Daire,5+1,3,230,34950000
162,İstanbul,Büyükçekmece,Türkoba Mh.,Villa,6+2,,3000,30000000
163,İzmir,Seferihisar,Sığacık Mh.,Villa,4+1,,170,11000000
164,Balıkesir,Edremit,Akçay Mh.,Müstakil Ev,3+1,,200,3999000
165,Antalya,Alanya,Kargıcak Mh.,Villa,4+1,,400,16513312
166,İstanbul,Sultanbeyli,Battalgazi Mh.,Daire,2+1,2,90,2400000
167,Antalya,Kepez,Aktoprak Mh.,Daire,2+1,2,105,2500000
168,Ankara,Sincan,Malazgirt Mh.,Daire,3+1,3,120,1449000
169,İstanbul,Büyükçekmece,Yenimahalle Mh.,Villa,6+2,,350,9350000
170,Ankara,Mamak,Başak Mh.,Daire,3+1,3,125,1750000
171,Konya,Akşehir,Yıldırım Bayezid Mh.,Müstakil Ev,4+2,,275,2550000
172,İstanbul,Başakşehir,Bahçeşehir 2. Kısım Mh.,Daire,4+1,11,190,11750000
173,İstanbul,Büyükçekmece,Atatürk Mh.,Müstakil Ev,5+2,,400,7000000
174,İzmir,Konak,Güneşli Mh.,Daire,2+1,1,90,1595000
175,İzmir,Menderes,Ahmetbeyli Mh.,Müstakil Ev,4+1,,350,12750000
176,İzmir,Bergama,Bahçelievler Mh.,Daire,3+1,2,135,1840000
177,Ankara,Sincan,Fevzi Çakmak Mh.,Daire,2+1,Yüksek Giriş,135,1749000
178,İzmir,Seferihisar,Payamlı Mh.,Villa,3+1,,120,3500000
179,İstanbul,Küçükçekmece,İnönü Mh.,Daire,3+1,1,160,1959000
